country,Region,Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),International trade: Balance (million US$),Population growth rate (average annual %),Urban population (% of total population),"Fertility rate, total (live births per woman)","Population age distribution (0-14 / 60+ years, %)",Individuals using the Internet (per 100 inhabitants),Threatened species (number),Forested area (% of land area),CO2 emission estimates (million tons/tons per capita)
South Africa,SouthernAfrica,56717,46.8,96.4,314571,1.3,5773,2.4,28.9,68.7,6.1,26.2,67.7,26,-633,1.4,64.8,2.6,29.0/8.4,581,7.6,489.8/9.1,7102
South Sudan,EasternAfrica,12576,20.6,100.4,13167,2,1067,4.6,58,37.4,-99,-99,-99,...,1640,3.3,18.8,5.2,41.7/5.1,49,-99,1.5/0.1,337
Spain,SouthernEurope,46354,92.9,96.2,1192955,3.2,25865.4,2.6,23.6,73.7,3.9,19.2,76.8,18.3,-20762,-0.2,79.6,1.3,14.7/25.3,617,36.8,234.0/5.1,1432
Sri Lanka,SouthernAsia,20877,332.9,92.5,82316,4.8,3973.7,8.7,30.7,60.6,27.4,25.9,46.6,5.2,-8955,0.5,18.4,2.1,24.0/14.9,587,33.1,18.4/0.9,179
State of Palestine,WesternAsia,4921,817.4,102.9,12677,3.5,2715.5,4.8,23.4,71.9,8.7,29.8,61.5,24.2,-4128,2.7,75.3,4.2,39.6/4.6,31,1.5,2.8/0.6,9
Sudan,NorthernAfrica,40533,23,99.9,79546,4.9,1977,32.4,20.1,47.6,32.9,20.4,46.7,13.4,-5861,2.3,33.8,4.8,40.8/5.5,133,-99,15.4/0.4,682
Suriname,SouthAmerica,563,3.6,100.7,4879,-2.7,8985.3,11.4,27.4,61.1,3.4,22.3,74.3,9.9,193,1,66,2.5,26.4/10.4,83,98.3,2.0/3.7,44
Swaziland,SouthernAfrica,1367,79.5,93.9,4133,1.7,3211.7,6.6,42.1,51.3,22,17,61,25.1,1149,1.8,21.3,3.3,37.2/4.8,34,33.8,1.2/1.0,39
Sweden,NorthernEurope,9911,24.2,100.2,495694,4.1,50687.5,1.3,26.3,72.4,1.8,18.2,79.9,7.3,-1263,0.8,85.8,1.9,17.5/25.5,54,68.9,43.4/4.5,1428
Switzerland,WesternEurope,8476,214.5,98.2,670790,0.8,80831.1,0.7,25.5,73.8,3.5,20.4,76.1,4.6,35534,1.2,73.9,1.5,14.9/24.1,74,31.6,35.3/4.3,552
