country,Region,Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),International trade: Balance (million US$),Population growth rate (average annual %),Urban population (% of total population),"Fertility rate, total (live births per woman)","Population age distribution (0-14 / 60+ years, %)",Individuals using the Internet (per 100 inhabitants),Threatened species (number),Forested area (% of land area),CO2 emission estimates (million tons/tons per capita)
Costa Rica,CentralAmerica,4906,96.1,100.1,52958,3.7,11015,5.1,21.5,73.4,11.6,19.1,69.3,8.6,-5414,1.1,76.8,1.9,21.6/13.6,340,53.4,7.8/1.6,110
Croatia,SouthernEurope,4189,74.9,93.1,48676,1.6,11479.4,4.1,26.6,69.3,9.2,26.8,64,11.7,-8182,-0.4,59,1.5,14.7/26.8,176,34.3,16.8/4.0,182
Cuba,Caribbean,11485,107.9,100.1,87206,4.4,7656.6,5,20.5,74.5,12.9,11.7,75.3,3,13089,0.2,77.1,1.7,16.0/20.1,339,30.2,34.8/3.0,212
Cyprus,WesternAsia,1180,127.7,100.2,19561,1.7,21941.9,2.3,10.6,87.2,4.1,16.7,79.2,10.3,-4684,0.9,66.9,1.4,16.8/18.5,72,18.7,6.1/5.2,5
Czechia,EasternEurope,10618,137.5,96.7,185156,4.5,17561.7,2.5,37.8,59.7,2.5,37,60.5,3.9,20932,0.1,73,1.5,15.4/25.6,53,34.5,96.5/9.2,1221
Democratic People's Republic of Korea,EasternAsia,25491,211.7,95.7,16283,-1.1,648,21.6,46.2,32.2,58.9,19.3,21.8,4.3,-1748,0.5,60.9,2,20.6/13.5,78,42.8,40.5/1.6,871
Democratic Republic of the Congo,MiddleAfrica,81340,35.9,99.6,37569,7,486.2,19.9,44.2,35.9,65.3,5.9,28.9,3.6,-803,3.3,42.5,6.4,46.3/4.7,349,67.4,4.7/0.1,1179
Denmark,NorthernEurope,5734,135.1,99,301308,1.6,53149.3,1.2,22.9,75.8,2.4,19.2,78.4,6,9222,0.5,87.7,1.7,16.5/25.3,47,14.4,33.5/5.9,666
Djibouti,EasternAfrica,957,41.3,100.7,1737,6.5,1956.3,3.3,21.4,75.3,22.8,23.9,53.2,6.6,-852,1.7,77.3,3.1,31.1/6.4,98,0.2,0.7/0.8,3
Dominica,Caribbean,74,98.6,103,512,-1.8,7051.1,15.4,13.2,71.5,...,...,...,...,-191,0.5,69.5,...,.../...,66,58.1,0.1/1.9,0
Dominican Republic,Caribbean,10767,222.8,99.2,67103,7,6373.6,6.6,28,65.4,13.1,16.9,70,14.4,-18978,1.2,79,2.5,29.3/10.2,184,40.4,21.5/2.1,28
Ecuador,SouthAmerica,16625,66.9,99.9,100177,0.2,6205.1,10.1,34.1,55.8,25.7,19.2,55.1,5.8,609,1.6,63.7,2.6,28.4/10.5,2358,50.8,43.9/2.8,1247
Egypt,NorthernAfrica,97553,98,102.3,315917,4.2,3452.3,11.2,36.3,52.5,25.4,25.3,49.3,11.5,-35545,2.2,43.1,3.4,33.5/7.9,156,0.1,201.9/2.2,3509
El Salvador,CentralAmerica,6378,307.8,88.5,25850,2.5,4219.4,10.8,25.8,63.3,18.6,20.2,61.2,6.4,-4519,0.5,66.7,2.2,27.4/11.6,86,13,6.3/1.0,86
Equatorial Guinea,MiddleAfrica,1268,45.2,124,13812,-7.4,16344.1,1.2,73.1,25.7,18.8,18,63.2,7.7,1987,4.2,39.9,5,37.2/4.4,177,56.3,5.3/6.5,841
Eritrea,EasternAfrica,5069,50.2,100.4,4783,4.8,914.9,17.2,23.5,59.3,57,7.6,35.4,7.3,-3310,2,22.6,4.4,41.8/5.3,122,15,0.7/0.1,27
Estonia,NorthernEurope,1310,30.9,88.2,22460,1.4,17112,3.4,27.4,69.2,3.8,29,67.3,7.2,-1807,-0.3,67.5,1.6,16.4/25.9,23,52.7,19.5/14.8,242
Ethiopia,EasternAfrica,104957,105,99.7,59917,9.6,602.8,40.5,16,43.5,70.5,8.4,21.1,5.7,-17397,2.6,19.5,4.6,40.6/5.3,148,12.5,11.6/0.1,1308
Falkland Islands (Malvinas),SouthAmerica,3,0.2,110.5,-99,-99,-99,-99,-99,-99,-99,-99,-99,1.2,-13,0.3,76.2,-99,16.4/15.7,23,0,0.1/18.9,0
Faroe Islands,NorthernEurope,49,35.3,107.2,-99,-99,-99,-99,-99,-99,...,...,...,4,216,0.2,42,2.4,21.0/22.5,21,0.1,0.6/12.4,1
Fiji,Melanesia,906,49.6,103.1,4391,3.6,4921.9,11.3,18.1,70.7,21.3,2.9,75.8,7.7,-1391,0.7,53.7,2.6,28.5/9.9,291,55.4,1.2/1.3,8
Finland,NorthernEurope,5523,18.2,97.2,231960,0.2,42148.1,2.5,26.8,70.6,4.2,22,73.8,8.9,-3176,0.4,84.2,1.8,16.4/27.8,36,73.1,47.3/8.6,757
France,WesternEurope,64980,118.7,96.7,2418946,1.3,36304.2,1.7,19.5,78.8,2.7,20.5,76.8,9.8,-71670,0.4,79.5,2,18.1/25.7,278,30.8,303.3/4.7,5694
French Guiana,SouthAmerica,283,3.4,100,-99,-99,-99,-99,-99,-99,-99,14.9,58.3,21.3,-99,2.8,84.4,3.5,33.2/8.4,73,98.9,0.7/2.8,3
French Polynesia,Polynesia,283,77.3,103.7,5135,1.6,18161,2.8,11.9,85.2,8.9,16.9,74.2,17,-1319,0.7,55.9,2.1,23.3/11.9,175,42.3,0.8/2.9,1
Gabon,MiddleAfrica,2025,7.9,105.6,13735,3.9,7960.7,3.8,54.5,41.7,16.2,19.1,64.8,18.1,-79,3.3,87.2,4,35.9/6.4,270,88.5,5.2/3.1,559
Gambia,WesternAfrica,2101,207.6,98,942,4.7,473.2,21.1,14.9,64,30.4,14.4,55.2,29.7,-439,3.1,59.6,5.6,45.3/3.8,67,48.1,0.5/0.3,7
Georgia,WesternAsia,3912,56.3,91.4,13965,2.8,3491.4,9,24.1,66.9,44.7,11.2,44.1,11.4,-5122,-1.4,53.6,2,19.2/20.8,120,40.6,9.0/2.2,61
Germany,WesternEurope,82114,235.6,97,3363600,1.7,41686.2,0.6,30.5,68.9,1.4,27.5,71.2,4.2,280080,0.2,75.3,1.4,13.1/28.0,116,32.7,719.9/8.9,5004
Ghana,WesternAfrica,28834,126.7,99.3,37156,3.9,1355.6,19,26.9,54.1,41.9,14.2,43.8,5.9,-4718,2.4,54,4.2,38.5/5.3,238,40.9,14.5/0.6,410
Gibraltar,SouthernEurope,35,3457.1,101.8,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-299,0.6,100,-99,18.1/22.4,31,0,0.5/16.5,-99
Greece,SouthernEurope,11160,86.6,96.9,194860,-0.2,17788,4.1,15.7,80.2,12.9,15,72.1,23,-19784,-0.4,78,1.3,14.2/26.5,374,31.2,67.3/6.1,368
Greenland,NorthernAmerica,56,0.1,112.1,2078,0.3,36976.7,10,15.9,74.1,4.6,12.6,82.5,9.7,-71,-0.1,86.4,2,21.0/13.2,23,~0.0,0.5/9.0,2
Grenada,Caribbean,108,317.1,100.9,954,6.2,8933.8,8.3,13.9,77.8,-99,-99,-99,...,-320,0.4,35.6,2.2,26.3/10.5,54,50,0.2/2.3,0
Guadeloupe,Caribbean,450,266,86.4,-99,-99,-99,-99,-99,-99,3.3,13.5,65.5,26.1,-99,-~0.0,98.4,2,18.6/23.6,73,43,2.6/5.5,5
Guam,Micronesia,164,304.1,102.6,-99,-99,-99,-99,-99,-99,0.2,14,85.7,10.7,-99,0.3,94.5,2.4,24.7/14.0,99,46.3,-99,-99
Guatemala,CentralAmerica,16914,157.8,96.9,63794,4.1,3903.5,10.8,27.2,62,32,18.5,49.4,2.4,-6415,2.1,51.6,3.2,35.1/6.9,290,33.4,18.3/1.1,327
Guinea-Bissau,WesternAfrica,1861,66.2,96.9,978,4.8,530,45,14.5,40.5,60.1,5.8,34.1,6.5,673,2.6,49.3,4.9,41.5/4.9,77,70.5,0.3/0.1,25
Guinea,WesternAfrica,12717,51.8,100.6,8875,0.1,703.9,19.8,32.8,47.4,69.7,7.4,22.9,6.8,-329,2.3,37.2,5.1,42.3/5.2,185,26,2.4/0.2,113
Guyana,SouthAmerica,778,4,101.9,3282,3.1,4278.8,17.6,31.7,50.6,18.4,25.4,56.2,11.3,-172,0.6,28.6,2.6,29.0/8.6,94,84,2.0/2.6,7
Haiti,Caribbean,10981,398.4,97.8,8501,1.7,793.7,16.7,38.2,45.1,46.9,12.6,40.6,12.9,-2332,1.4,58.6,3.1,33.0/7.3,205,3.5,2.9/0.3,136
Holy See,SouthernEurope,1,1800,219.2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,~0.0,100,-99,-99,1,-99,-99,-99
Honduras,CentralAmerica,9265,82.8,99.4,20365,3.6,2521.9,13,25.1,61.9,29.4,21.6,49,5.6,-4791,1.8,54.7,2.6,31.6/7.0,301,42.1,9.5/1.2,105
Hungary,EasternEurope,9722,107.4,90.7,121715,3.1,12350.6,4.1,31.9,64,4.3,29.8,65.9,4.5,11027,-0.3,71.2,1.3,14.3/26.0,66,22.8,42.1/4.3,423
Iceland,NorthernEurope,335,3.3,100.7,16780,4.2,50936,6.4,24,69.7,4,17.7,78.2,3.6,-1254,0.6,94.1,2,20.1/20.1,27,0.5,2.0/6.1,284
India,SouthernAsia,1339180,450.4,107.6,2116239,7.6,1614.2,17,29.7,53.2,44.3,24.5,31.2,3.4,-96378,1.2,32.7,2.4,27.8/9.4,1052,23.7,2238.4/1.7,23103
Indonesia,South-easternAsia,263991,145.7,101.4,861934,4.8,3346.5,14,41.3,44.7,31.4,22.4,46.2,5.8,8837,1.2,53.7,2.4,27.4/8.6,1281,50.6,464.2/1.8,19481
Iran (Islamic Republic of),SouthernAsia,81163,49.8,101.2,398563,0.4,5038.1,8.6,39.1,52.3,16.6,32.5,50.9,11.3,10294,1.2,73.4,1.7,23.7/8.8,134,6.6,649.5/8.3,13291
Iraq,WesternAsia,38275,88.1,102.5,164234,-2.4,4509,4.6,58,37.4,20.4,21,58.6,16.1,-18490,3.2,69.5,4.6,40.4/5.0,72,1.9,168.4/4.8,6744
Ireland,NorthernEurope,4762,69.1,98.4,283716,26.3,60513.6,1,41.7,57.3,4.8,17.7,77.4,7.6,52318,0.3,63.2,2,21.6/19.1,50,10.9,34.1/7.3,84
Isle of Man,NorthernEurope,84,147.9,98.2,-99,-99,-99,-99,-99,-99,...,...,...,2.6,-99,0.8,52.2,-99,16.0/26.9,3,6.1,-99,0
Israel,WesternAsia,8322,384.5,98.7,299413,2.5,37129.4,1.3,21.2,77.5,1,17.9,81,5.9,-5232,1.6,92.1,3,27.9/16.1,174,7.5,64.6/8.1,313
Italy,SouthernEurope,59360,201.8,95.1,1821580,0.7,30462.4,2.2,23.5,74.2,3.5,27.1,69.4,11.4,56951,-0.1,69,1.4,13.5/29.4,359,31.4,320.4/5.4,1539
Jamaica,Caribbean,2890,266.9,99,14262,1,5105.8,7.1,22.3,70.5,17.9,15.3,66.8,13.1,-3565,0.4,54.8,2.1,22.7/13.6,311,31,7.4/2.7,8
Japan,EasternAsia,127484,349.7,95.4,4383076,1.2,34628.7,1.2,26.4,72.4,3.7,26.5,69.8,3,38008,-0.1,93.5,1.4,12.9/33.4,404,68.5,1214.0/9.6,1114
Jordan,WesternAsia,9702,109.3,102.6,37517,2.4,4940.1,4,27.7,68.4,2,17.8,80.2,13.4,-11698,4.9,83.7,3.6,35.5/5.7,113,1.1,26.5/3.6,7
Kazakhstan,CentralAsia,18204,6.7,93.9,181754,1.2,10312.1,5,32.5,62.5,18.1,20.4,61.6,5.6,11601,1.6,53.2,2.7,27.9/11.1,82,1.2,248.3/14.3,7091
Kenya,EasternAfrica,49700,87.3,98.8,63399,5.6,1376.7,32,19,49,61.9,8.6,29.5,10.8,-8420,2.7,25.6,4.1,40.5/4.3,480,7.7,14.3/0.3,750
Kiribati,Micronesia,116,143.7,97.3,162,3.7,1442.9,24.1,13.6,62.2,...,...,...,...,-113,1.8,44.3,3.8,35.0/6.4,104,15,0.1/0.6,0
Kuwait,WesternAsia,4136,232.1,134.9,114054,1.8,29303.9,0.6,48.7,50.7,2.6,27.3,70.1,2.2,15413,5.4,98.3,2,21.1/4.9,49,0.4,95.4/25.4,6941
Kyrgyzstan,CentralAsia,6045,31.5,98.4,6572,3.5,1106.4,15.4,25.9,58.7,29.2,21,49.8,7.7,-2421,1.6,35.7,3.1,31.8/7.6,44,3.4,9.6/1.7,80
Lao People's Democratic Republic,South-easternAsia,6858,29.7,99.5,12585,7.6,1850.2,23.6,32.8,43.6,78.3,4,17.7,1.5,-2447,1.3,38.6,2.9,32.9/6.3,209,80.5,2.0/0.3,72
Latvia,NorthernEurope,1950,31.3,84.9,27004,2.7,13704.1,3.2,23.3,73.5,7.3,23,69.7,9.6,-2163,-1.2,67.4,1.5,15.4/26.2,30,54,7.0/3.5,108
Lebanon,WesternAsia,6082,594.6,100.6,50149,1.5,8571.4,3.2,19.6,77.2,8.2,22.4,69.4,7,-17007,6,87.8,1.7,23.1/12.0,87,13.4,24.1/4.3,7
Lesotho,SouthernAfrica,2233,73.6,94.4,2008,2.8,940.6,7.7,31.3,61,39.7,20,40.3,27.5,-1079,1.3,27.3,3.3,35.4/6.7,18,1.6,2.5/1.2,31
Liberia,WesternAfrica,4732,49.1,101.8,2053,0.3,455.9,70.8,11.4,17.9,45.3,11.7,43,4.1,-86,2.6,49.7,4.8,41.8/4.9,172,43.7,0.9/0.2,73
Libya,NorthernAfrica,6375,3.6,101.7,34457,-10.2,5488.2,0.9,67.1,32,19.1,25.1,55.8,19.2,-4261,0.2,78.6,2.4,28.2/6.6,63,0.1,57.0/9.1,1505
Liechtenstein,WesternEurope,38,237,98.4,6361,1.4,169491.8,0.7,40.1,59.2,-99,-99,-99,2.6,-99,0.8,14.3,1.5,14.9/22.7,6,43.1,~0.0/1.1,1
Lithuania,NorthernEurope,2890,46.1,85.4,41402,1.8,14383.7,3.6,29.8,66.5,8.7,24.5,66.8,9.2,-2476,-1.3,66.5,1.6,14.8/25.3,26,34.8,12.8/4.4,74
Luxembourg,WesternEurope,584,225.3,101,56802,3.5,100160.8,0.2,12.1,87.7,1.3,10.2,88.5,5.6,-6285,2.2,90.2,1.5,16.4/19.6,11,33.5,9.7/17.3,6
Madagascar,EasternAfrica,25571,44,99.5,9739,3.1,401.8,24.9,18.4,56.7,74.2,9.4,16.5,2.3,-709,2.7,35.1,4.4,41.0/4.8,1324,21.5,3.1/0.1,129
Malawi,EasternAfrica,18622,197.5,98.2,6420,3,372.9,26.1,16.6,57.3,69.9,4.8,25.4,6.8,-774,2.9,16.3,4.9,44.0/4.3,176,33.6,1.3/0.1,89
Malaysia,South-easternAsia,31624,96.3,106.7,296284,5,9768.4,8.6,39.6,51.8,11.8,27.3,60.9,3.3,21039,1.8,74.7,2.1,24.3/9.7,1272,67.5,242.8/8.1,3738
Maldives,SouthernAsia,436,1454.4,131.8,3435,2.8,9446.5,3.1,22,74.9,7.7,22.8,69.5,2.9,-1988,2.8,45.5,2.2,23.4/6.3,75,3.3,1.3/3.7,0
Mali,WesternAfrica,18542,15.2,100.2,13100,7.6,744.3,39.9,19.6,40.5,56.7,14.7,28.6,8.1,520,2.9,39.9,6.4,47.7/4.0,42,3.9,1.4/0.1,55
Malta,SouthernEurope,431,1346.4,100.9,9747,6.2,23280.7,1.4,15,83.6,1.2,20.9,77.9,5.4,-3143,0.5,95.4,1.4,14.4/26.1,39,1.1,2.3/5.6,1
Marshall Islands,Micronesia,53,295.2,104.5,183,0.6,3452.6,16.4,10.2,73.3,...,...,...,4.7,-58,0.2,72.7,4.1,39.0/5.5,101,70.2,0.1/1.9,0
Martinique,Caribbean,385,363.1,83.5,-99,-99,-99,-99,-99,-99,3.9,11.8,69,22.8,-99,-0.5,88.9,2,17.7/25.7,48,45.8,2.3/5.8,1
Mauritania,WesternAfrica,4420,4.3,101.6,5023,1.2,1235,20.9,41.7,37.4,40.3,9.5,50.2,12,-551,2.9,59.9,4.9,39.9/5.0,86,0.2,2.7/0.7,31
Mauritius,EasternAfrica,1265,623.2,97.9,11511,3.5,9040.9,2.9,22.7,74.4,7.3,25.2,67.5,7.6,-2461,0.2,39.7,1.5,18.4/16.6,257,19,4.2/3.3,10
Mayotte,EasternAfrica,253,674.8,96.7,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,...,2.8,47,4.1,40.6/5.8,88,16.1,-99,0
Mexico,CentralAmerica,129163,66.4,99.2,1140724,2.5,8980.9,3.6,36,60.4,13.4,25.2,61.3,4.1,-13181,1.4,79.2,2.3,26.7/10.1,1162,34,480.3/3.8,8514
Micronesia (Federated States of),Micronesia,106,150.8,105.1,315,3.7,3015.2,27.8,6.5,65.8,-99,-99,-99,-99,-34,0.2,22.4,3.3,33.1/8.0,167,91.8,0.2/1.4,0
Monaco,WesternEurope,39,25969.8,94.7,6258,5.4,165870.6,-99,13.4,86.6,-99,-99,-99,...,-99,0.6,100,-99,.../...,21,-99,-99,-99
Mongolia,EasternAsia,3076,2,97.9,11758,2.3,3973.4,14.8,34.1,51.1,28.4,20.7,51,6.3,1559,1.9,72,2.8,29.7/6.6,41,8.1,20.8/7.2,677
Montenegro,SouthernEurope,629,46.8,97.4,4020,4.5,6424.1,9.8,17.5,72.6,7.5,17.3,75.2,17.4,-1908,0.1,64,1.7,18.1/21.3,98,61.5,2.2/3.5,29
Montserrat,Caribbean,5,51.8,106,59,0.4,11553.4,1.4,12.7,85.9,-99,-99,-99,5.6,-32,0.7,9,...,19.7/19.6,55,25,~0.0/9.6,-99
Morocco,NorthernAfrica,35740,80.1,98.1,100359,4.4,2919.3,13.7,28.9,57.4,32.6,20.7,46.8,10.4,-18838,1.4,60.2,2.6,27.4/10.7,207,12.6,59.9/1.7,78
Mozambique,EasternAfrica,29669,37.7,95.5,14806,6.6,529.2,24.6,21,54.4,75,4.1,21,24.1,-1943,2.9,32.2,5.4,44.8/4.8,309,48.5,8.4/0.3,779
Myanmar,South-easternAsia,53371,81.7,95.5,62601,7.3,1161.5,26.7,34.5,38.7,23.6,14.6,61.7,0.8,-4023,0.9,34.1,2.3,26.8/9.4,321,45.3,21.6/0.4,1078
Namibia,SouthernAfrica,2534,3.1,94.7,11491,5.3,4673.6,6.6,30.6,62.8,29.1,14.6,56.3,24.9,-1905,2.2,46.7,3.6,36.7/5.5,115,8.5,3.8/1.6,19
Nauru,Micronesia,11,568,101.9,189,18.7,18469.2,3,59.9,37.1,-99,-99,-99,23,-99,2.3,100,3.9,39.5/4.0,82,0,~0.0/4.8,0
Nepal,SouthernAsia,29305,204.4,94.3,20658,2.7,724.5,31.8,14.9,53.3,72.6,10.9,16.5,3,-4547,1.2,18.6,2.3,30.9/8.8,104,25.4,8.0/0.3,451
Netherlands,WesternEurope,17036,505.2,99,750318,2,44332.1,1.8,20,78.2,2.2,15.9,81.9,5.6,90745,0.3,90.5,1.7,16.4/25.0,40,11.1,167.3/9.9,2447
New Caledonia,Melanesia,276,15.1,101.5,8937,3.2,33965.7,1.4,26,72.6,3,26.9,70.1,15.1,-1079,1.4,70.2,2.2,22.5/14.2,526,45.9,4.3/16.5,1
New Zealand,Oceania,4706,17.9,96.7,173417,3.1,38294.3,6.5,23,70.6,5.9,21.4,72.6,5.5,-2589,1.1,86.3,2,19.8/20.8,199,38.6,34.7/7.7,783
Nicaragua,CentralAmerica,6218,51.7,97.2,12693,4.9,2086.9,18.8,26.8,54.4,24.1,14.5,61.4,6.1,-3701,1.2,58.8,2.3,29.0/8.4,144,25.9,4.9/0.8,91
Niger,WesternAfrica,21477,17,100.6,7143,3.6,359,39.6,19.1,41.3,62.3,14.4,23.3,2.7,-933,3.8,18.7,7.4,50.2/4.2,34,0.9,2.1/0.1,101
Nigeria,WesternAfrica,190886,209.6,102.7,494583,2.7,2714.5,20.9,20.4,58.8,27.9,14.7,57.4,5.4,67551,2.7,47.8,5.7,44.0/4.5,361,8.1,96.3/0.6,10851
Niue,Polynesia,2,6.2,100,-99,-99,-99,-99,-99,-99,...,...,...,...,-99,-0.1,42.5,2.6,22.8/20.1,52,70,~0.0/5.7,0
Northern Mariana Islands,Micronesia,55,119.9,107.1,-99,-99,-99,-99,-99,-99,...,...,...,...,-2818,0.1,89.2,1.6,23.5/10.0,102,64.5,-99,-99
Norway,NorthernEurope,5305,14.5,101.8,386578,1.6,74185.5,1.8,34.6,63.5,2.2,20.2,77.6,5.1,16647,1.2,80.5,1.8,17.8/22.3,64,33.2,47.6/9.2,8204
Oman,WesternAsia,4636,15,192.8,69832,5.7,15550.8,1.5,51.1,47.3,5,39.6,55.4,17.8,1195,6.5,77.6,2.9,21.8/4.0,99,~0.0,61.2/14.4,3101
Pakistan,SouthernAsia,197016,255.6,105.6,266458,5.5,1410.4,25.5,19,55.5,42.1,19.8,38.1,5.9,-26464,2.1,38.8,3.7,34.8/6.7,140,2,166.3/0.9,2202
Palau,Micronesia,22,47.2,113.3,258,5.7,12122.5,3.8,8,88.2,...,...,...,...,-147,0.8,87.1,2.2,20.3/13.1,182,87.6,0.3/12.4,-99
Panama,CentralAmerica,4099,55.1,100.4,52132,5.8,13268.1,2.8,27.1,70,14.5,19.6,65.9,6.2,-11061,1.7,66.6,2.6,27.4/11.4,383,62.3,8.8/2.3,31
Papua New Guinea,Melanesia,8251,18.2,103.5,21315,6.6,2797.6,20.1,28.2,51.8,68.3,5.7,26,2.5,-114,2.2,13,3.8,35.9/6.1,493,74.1,6.3/0.8,114
Paraguay,SouthAmerica,6811,17.1,102.9,27714,3.1,4174.4,19,29.5,51.6,19.6,19.5,61,5.5,-1259,1.3,59.7,2.6,29.4/9.4,59,39.4,5.7/0.9,325
Peru,SouthAmerica,32166,25.1,99.8,190428,3.3,6069.1,7.6,33.3,59.2,24.4,17.3,58.3,5.3,-145,1.3,78.6,2.5,27.4/10.4,685,57.9,61.7/2.0,1020
Philippines,South-easternAsia,104918,351.9,101.3,292449,5.9,2904.2,10.5,31.3,58.2,27.7,16.3,56.1,5.9,-29596,1.6,44.4,3,31.7/7.6,783,26.2,105.7/1.1,991
